Team,Player_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
Atlanta Hawks,1630235.0,16.8,1.8,4.8,0.3556,0.4,2.0,0.15,2.2,2.2,0.6,1.8,1.8,3.6,1.6,0.8,0.0,1.6,1.6,6.2
Atlanta Hawks,1627749.0,31.8,6.4,15.0,0.422,0.4,2.0,0.2,1.0,1.8,0.35,1.2,6.2,7.4,6.0,1.2,0.2,0.8,1.4,14.2
Atlanta Hawks,201988.0,23.0,3.4,8.8,0.36879999999999996,2.6,6.6,0.3598,1.4,1.4,0.4,0.0,1.0,1.0,2.4,0.2,0.0,1.6,1.4,10.8
Atlanta Hawks,1629027.0,30.2,8.6,17.8,0.4678,1.2,5.8,0.2118,7.0,7.2,0.95,0.2,4.0,4.2,8.8,0.4,0.2,3.6,1.0,25.4
Atlanta Hawks,1629631.0,19.8,2.4,7.6,0.31579999999999997,0.2,2.6,0.0666,1.8,2.4,0.45,0.2,2.4,2.6,0.8,0.4,0.6,0.8,2.4,6.8
Atlanta Hawks,203992.0,33.0,8.4,14.6,0.5820000000000001,5.0,9.0,0.5641999999999999,1.4,1.4,0.4,0.4,2.2,2.6,4.0,2.0,0.6,1.0,2.4,23.2
Atlanta Hawks,203991.0,28.8,6.0,9.8,0.6364,0.0,0.0,0.0,1.8,3.0,0.45339999999999997,4.4,8.8,13.2,0.2,0.6,1.6,1.4,2.2,13.8
Atlanta Hawks,1630168.0,14.8,3.6,5.4,0.5631999999999999,0.0,0.0,0.0,0.8,1.6,0.4666,2.8,2.8,5.6,1.0,0.4,0.8,1.0,1.4,8.0
Atlanta Hawks,1628981.0,8.6,1.2,3.2,0.38,0.0,0.0,0.0,0.6,0.8,0.3,0.6,2.2,2.8,0.2,0.4,0.0,0.4,0.6,3.0
Atlanta Hawks,1629726.0,12.0,0.8,2.8,0.2166,0.8,2.8,0.2166,0.6,0.8,0.15,0.0,0.8,0.8,0.0,0.2,0.2,0.2,1.6,3.0
Atlanta Hawks,202083.0,20.8,2.2,4.6,0.4058,1.4,3.4,0.36,0.8,0.8,0.4,0.8,1.6,2.4,1.0,1.0,0.2,0.6,1.0,6.6
Atlanta Hawks,1630180.0,35.6,6.2,15.8,0.41059999999999997,3.4,9.4,0.3684,2.4,3.4,0.6434,0.4,5.0,5.4,1.6,0.6,0.6,1.6,1.8,18.2
Boston Celtics,1628369.0,35.4,9.0,19.8,0.4526,2.4,7.6,0.2978,4.8,6.0,0.8,1.0,6.6,7.6,3.6,1.4,1.0,2.8,2.4,25.2
Boston Celtics,201950.0,33.6,7.4,15.4,0.48599999999999993,1.8,5.2,0.3188,2.4,2.6,0.76,1.2,2.6,3.8,8.0,1.0,1.2,1.4,1.0,19.0
Boston Celtics,1627759.0,37.8,9.0,23.4,0.38199999999999995,3.6,10.4,0.3264,4.4,5.2,0.8366,1.6,6.8,8.4,3.0,1.6,0.6,2.8,2.8,26.0
Boston Celtics,204001.0,26.4,6.6,13.0,0.5147999999999999,2.2,3.8,0.6266,2.2,2.4,0.5714,1.4,3.8,5.2,1.0,0.4,0.2,0.0,2.4,17.6
Boston Celtics,1628401.0,30.2,6.4,13.8,0.45759999999999995,2.8,7.8,0.309,3.4,4.0,0.8,0.8,3.8,4.6,4.6,0.8,0.8,0.6,1.4,19.0
Boston Celtics,1630202.0,19.2,2.8,8.6,0.3336,2.0,5.6,0.3246,0.2,0.4,0.1,0.4,3.4,3.8,2.2,1.0,0.0,0.4,1.2,7.8
Boston Celtics,1629052.0,29.2,4.0,8.8,0.46560000000000007,2.2,5.0,0.45,2.8,3.8,0.7333999999999999,1.6,3.4,5.0,1.6,1.2,0.6,0.2,1.8,13.0
